Object ID,Asset ID,Map Label,Asset Name,Asset Type,Asset Subtype,Quantity,Functional Area ID,Property ID,Facility ID,Floor ID,Geom
4073,146894,Trash Can,Brick Pathway Trash Cans,Trash Can,,4,93267,59481,59486,,"(37.7762972994, -122.424347223)"
4085,146872,Trash Can,Sidewalk Trash Cans,Trash Can,,1,98662,120,56581,,"(37.7794789616, -122.43352327)"
4101,146823,Trash Can,Concrete Pathway Trash Cans,Trash Can,,1,19347,121,12452,,"(37.7800767017, -122.428680612)"
4108,146826,Trash Can,Concrete Pathway McAllister/Fulton Trash Can,Trash Can,,1,19349,121,12452,,"(37.7789770872, -122.428475621)"
4139,147415,Trash Can,Concrete Plaza Trash Cans,Trash Can,,4,83739,126,83738,,"(37.7850279144, -122.429497991)"
4145,147415,Trash Can,Concrete Plaza Trash Cans,Trash Can,,4,83739,126,83738,,"(37.7850363082, -122.429996748)"
4150,147415,Trash Can,Concrete Plaza Trash Cans,Trash Can,,4,83739,126,83738,,"(37.7852714932, -122.430042084)"
4174,147415,Trash Can,Concrete Plaza Trash Cans,Trash Can,,4,83739,126,83738,,"(37.7852588207, -122.429963711)"
4215,151220,Trash Can,Archery Field Trash Can,Trash Can,,1,12504,756670,12503,,"(37.770387066, -122.507794047)"
4216,151314,Trash Can,Urban Forestry Trash Can,Trash Can,,1,94370,756668,94364,,"(37.7682926662, -122.483772838)"
4228,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7951506911, -122.405379426)"
4229,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7950255785, -122.405671496)"
4230,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7949390886, -122.405658877)"
4231,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7948147217, -122.405645532)"
4239,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7945266965, -122.405611558)"
4240,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7945199197, -122.405610482)"
4252,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7945725744, -122.405022522)"
4253,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7947221366, -122.405083113)"
4254,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7949986436, -122.405131196)"
4255,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7949373948, -122.405355238)"
4256,153382,Trash Can,Concrete Pathway Trash Can,Trash Can,,18,36292,141,36291,,"(37.7951908615, -122.405140156)"
