Map Label,Asset Name,Quantity,Lat,Lng
Trash Can,Asphalt Pathway Trash Cans,3,37.7637378216,-122.438485279
Trash Can,Children's Play Area Trash Cans,1,37.7638752254,-122.399543589
Trash Can,Basketball Court Trash Cans,2,37.7639034759,-122.399566848
Trash Can,Basketball Court Trash Cans,2,37.7638562935,-122.399563839
Trash Can,Tot's Play Area Trash Cans,1,37.7639596614,-122.399188781
Trash Can,Turf Trash Cans,6,37.7640308443,-122.399034654
Trash Can,Turf Trash Cans,6,37.7640305394,-122.399053576
Trash Can,Turf Trash Cans,6,37.7640287169,-122.399077868
Trash Can,Picnic Area Trash Cans,3,37.7642049865,-122.398841692
Trash Can,Picnic Area Trash Cans,3,37.764176823,-122.398813027
Trash Can,Picnic Area Trash Cans,3,37.7641433082,-122.39885003
Trash Can,Turf Trash Cans,6,37.76411653,-122.398957519
Trash Can,Turf Trash Cans,6,37.7641625827,-122.398897399
Trash Can,Trash Cans,19,37.7761260762,-122.433403874
Trash Can,Trash Cans,19,37.7758672975,-122.434412547
Trash Can,Trash Cans,19,37.7762230909,-122.436193156
Trash Can,Trash Cans,19,37.7768695635,-122.435169615
Trash Can,Trash Cans,19,37.7765494292,-122.436022492
Trash Can,Trash Cans,19,37.7768119374,-122.435817143
Trash Can,Trash Cans,19,37.7766196804,-122.435695492
Trash Can,Trash Cans,19,37.7763033085,-122.435010848
Trash Can,Trash Cans,19,37.7758818731,-122.435482238
Trash Can,Trash Cans,19,37.7757541489,-122.435841777
Trash Can,Trash Cans,19,37.775928084,-122.435190854
Trash Can,Trash Cans,19,37.7758063441,-122.434784955
Trash Can,Trash Cans,19,37.7759199816,-122.434535646
Trash Can,Trash Cans,19,37.7764863703,-122.434617761
Trash Can,Trash Cans,19,37.7765155794,-122.43477621
Trash Can,Trash Cans,19,37.7764132107,-122.433652651
Trash Can,Turf Trash Cans,5,37.7819665063,-122.42662414
Trash Can,Concrete Pathway Trash Can,2,37.7096232991,-122.447016648
Trash Can,Basketball Court Trash Can,1,37.7096537757,-122.44708553
Trash Can,Tennis Court Trash Can,1,37.7097526772,-122.44679421
Trash Can,Turf Trash Cans,1,37.7256759041,-122.393147432
Trash Can,Children's Play Area Trash Cans,1,37.7258560017,-122.393388364
Trash Can,Concrete Pathway Trash Cans,3,37.7733260193,-122.427062304
Trash Can,Concrete Pathway Trash Cans,3,37.7733414249,-122.426956659
Trash Can,Children's Play Area Trash Cans,1,37.7732501345,-122.426702291
Trash Can,Concrete Pathway Trash Cans,3,37.7732605888,-122.426410516
Trash Can,Parking Lot Trash Can,4,37.7834620551,-122.477732683
Trash Can,Parking Lot Trash Can,4,37.7834622501,-122.477721058
Trash Can,Parking Lot Trash Can,4,37.7834624384,-122.477709835
Trash Can,Parking Lot Trash Can,4,37.7834629639,-122.477697417
Trash Can,Concrete Paths Trash Can,2,37.7833089783,-122.477807609
Trash Can,Concrete Paths Trash Can,2,37.7832619468,-122.477803148
Trash Can,Picnic Area Trash Cans,1,37.8012767891,-122.416841817
Trash Can,Sharon Meadow Trash Can,10,37.7688946577,-122.456562896
Trash Can,Sharon Meadow Trash Can,10,37.7692453009,-122.456485056
Trash Can,Koret Playground Trash Can,3,37.7684045058,-122.457279541
Trash Can,Koret Playground Trash Can,3,37.7683668382,-122.45741034
Trash Can,Herschel-Spillman Carousel Trash Can,3,37.7681295331,-122.457862998
Trash Can,Herschel-Spillman Carousel Trash Can,3,37.7681653649,-122.457842762
Trash Can,Koret Playground Trash Can,3,37.7682192226,-122.457637083
Trash Can,Carousel Concession Stand Trash Can,1,37.7680187479,-122.458234268
Trash Can,Herschel-Spillman Carousel Trash Can,3,37.7679809397,-122.458148549
Trash Can,Koret Playground Trash Can,3,37.7678955712,-122.458339277
Trash Can,Koret Playground Trash Can,3,37.7680796896,-122.458501809
Trash Can,Natural Area Trash Cans,2,37.7651651797,-122.438520595
Trash Can,Asphalt Pathway Trash Cans,4,37.7627858778,-122.451930071
Trash Can,Annual Beds Trash Cans,1,37.762852418,-122.451569508
Trash Can,Asphalt Pathway Trash Cans,4,37.7626058274,-122.452050328
Trash Can,Asphalt Pathway Trash Cans,4,37.7626069114,-122.452040005
Trash Can,Asphalt Pathway Trash Cans,4,37.7626091932,-122.452030864
Trash Can,DG Pathway Trash Cans,1,37.751709348,-122.438916789
Trash Can,Concrete Pathway Trash Cans,7,37.7596956556,-122.426104672
Trash Can,CPA Trash Can,1,37.788442121,-122.449748193
Trash Can,Concrete Pathway Trash Cans,7,37.795510735,-122.397127836
Trash Can,Concrete Pathway Trash Cans,7,37.7955198144,-122.397025115
Trash Can,Concrete Pathway Trash Cans,7,37.7962239484,-122.397463027
Trash Can,Concrete Pathway Trash Can,4,37.7698666295,-122.431968254
Trash Can,Asphalt Pathway Trash Cans,3,37.7495337883,-122.412492298
Trash Can,Asphalt Pathway Trash Cans,3,37.7497179706,-122.41224622
Trash Can,Concrete Hardscaped Area Trash Cans,2,37.749923446,-122.406489781
Trash Can,Concrete Hardscaped Area Trash Cans,2,37.7499248127,-122.406486188
Trash Can,Baseball Field 1 Trash Cans,2,37.7498523672,-122.406521622
Trash Can,Baseball Field 1 Trash Cans,2,37.7498935534,-122.406439089
Trash Can,Children's Play Area Trash Cans,5,37.7581476156,-122.413064756
Trash Can,Parking Lot Trash Can,1,37.758061595,-122.412804241
Trash Can,Children's Play Area Trash Cans,2,37.7503570353,-122.406416279
Trash Can,Perennial Bed Trash Cans,3,37.7589672332,-122.428079706
Trash Can,Perennial Bed Trash Cans,3,37.7604789491,-122.428220915
Trash Can,Concrete Pathway Trash Cans,7,37.7598883293,-122.426164961
Trash Can,Concrete Pathway Trash Can,4,37.7694384926,-122.433984424
Trash Can,Children's Play Area Trash Can,1,37.7694786092,-122.433592424
Trash Can,Concrete Pathway Trash Can,1,37.7974104242,-122.444890265
Trash Can,Baseball Field Trash Can,1,37.7438894197,-122.479719468
Trash Can,Turf Trash Can,1,37.7446494103,-122.479126599
Trash Can,Children's Play Area Trash Can,1,37.7437476588,-122.480921303
Trash Can,DG Paths Trash Cans,3,37.7605167288,-122.390656711
Trash Can,DG Paths Trash Cans,3,37.7604887483,-122.391231899
Trash Can,LA Trash Cans,4,37.7609342434,-122.391347553
Trash Can,LA Trash Cans,4,37.7615162531,-122.391141077
Trash Can,LA Trash Cans,4,37.761525,-122.390929833
Trash Can,LA Trash Cans,4,37.7615185149,-122.390809107
Trash Can,DG Paths Trash Cans,3,37.761223136,-122.390733081
Trash Can,Non-Landscaped Greenspace Trash Can,1,37.7499342151,-122.469248677
Trash Can,Children's Play Area Trash Can,1,37.7501056604,-122.468844117
Trash Can,Asphalt Pathway Trash Can,1,37.7501449234,-122.468690373
Trash Can,DG Pathway Trash Can,1,37.7309405521,-122.480394284
Trash Can,Dog Play Area Trash Cans,3,37.7817055535,-122.426007358
Trash Can,Turf Trash Cans,5,37.7820728647,-122.425896017
Trash Can,Turf Trash Cans,5,37.7822352026,-122.424559961
Trash Can,Dog Play Area Trash Cans,3,37.7819010663,-122.426020929
Trash Can,Concrete Pathway Trash Cans,5,37.7819904398,-122.425874361
Trash Can,Turf Trash Cans,5,37.7815329268,-122.425236603
Trash Can,Turf Trash Cans,5,37.781774335,-122.425305916
Trash Can,Dog Play Area Trash Cans,3,37.7815696772,-122.426687419
Trash Can,Hardscaped Area Trash Can,3,37.7174804616,-122.470149003
Trash Can,Hardscaped Area Trash Can,3,37.7174863108,-122.470149158
Trash Can,CPA Trash Can (30),1,37.8015147285,-122.43167632
Trash Can,Tennis Court 3 Trash Can (30),1,37.8017949649,-122.431898045
Trash Can,Asphalt Pathway  30 Gallon Trash Can,10,37.8028784897,-122.432616619
Trash Can,Asphalt Pathway  30 Gallon Trash Can,10,37.8025566304,-122.432089939
Trash Can,Asphalt Pathway Sunset 55 Gallon Trash Can,1,37.8016634894,-122.432338474
Trash Can,Asphalt Pathway 30 Gallon Trash Can,3,37.8017000927,-122.432061775
Trash Can,Asphalt Pathway  30 Gallon Trash Can,10,37.8025072791,-122.433929511
Trash Can,Asphalt Pathway  30 Gallon Trash Can,10,37.8025066903,-122.433914858
Trash Can,Asphalt Pathway 55 Gallon Trash Can,5,37.8025069989,-122.433896044
Trash Can,Asphalt Pathway 55 Gallon Trash Can,5,37.8025080676,-122.433881432
Trash Can,Asphalt Pathway 55 Gallon Trash Can,5,37.8025083932,-122.433861574
Trash Can,Asphalt Pathway  30 Gallon Trash Can,10,37.8027731756,-122.433652021
Trash Can,Asphalt Pathway  30 Gallon Trash Can,10,37.8027599929,-122.43364645
Trash Can,Softball Field 3 Trash Can (30),2,37.80176877,-122.43357528
Trash Can,Softball Field 3 Trash Can (30),2,37.8016635075,-122.433417
Trash Can,Asphalt Pathway  Sunset Scav. 55 Gallon Trash Can,4,37.8014840617,-122.431900084
Trash Can,Asphalt Pathway  Sunset Scav. 55 Gallon Trash Can,4,37.8014944062,-122.431901661
Trash Can,Asphalt Pathway  Sunset Scav. 55 Gallon Trash Can,4,37.8015088767,-122.431904651
Trash Can,Asphalt Pathway  Sunset Scav. 55 Gallon Trash Can,4,37.8015212957,-122.431906281
Trash Can,Picnic Area Trash Can,2,37.8016137784,-122.433477136
Trash Can,Picnic Area Trash Can,2,37.8014886227,-122.433773189
Trash Can,Picnic Area Trash Can,2,37.8012787829,-122.433731127
Trash Can,Picnic Area Trash Can,2,37.801321749,-122.43332445
Trash Can,Turf Trash Cans,3,37.7962285863,-122.39666676
Trash Can,DPA Turf Trash Cans,3,37.7905951495,-122.438211561
Trash Can,Lawn Area Trashcan,8,37.7904358357,-122.438170933
Trash Can,DPA Turf Trash Cans,3,37.7907564934,-122.436807651
Trash Can,Lawn Area Trashcan,8,37.7913277246,-122.436535859
Trash Can,Lawn Area Trashcan,8,37.791794705,-122.436541958
Trash Can,Play Structure Trash Cans,3,37.7910524718,-122.438013802
Trash Can,Play Structure Trash Cans,3,37.7910536392,-122.437996568
Trash Can,Play Structure Trash Cans,3,37.7910558001,-122.437972675
Trash Can,Play Area Trash Cans,6,37.7908809387,-122.438546728
Trash Can,Play Area Trash Cans,6,37.790887608,-122.43855148
Trash Can,Play Area Trash Cans,6,37.7908924809,-122.438554877
Trash Can,Play Area Trash Cans,6,37.7908960584,-122.438558239
Trash Can,Play Area Trash Cans,6,37.7909001441,-122.43856227
Trash Can,Play Area Trash Cans,6,37.7909052567,-122.438566981
Trash Can,Lawn Area Trashcan,8,37.7905743498,-122.437003518
Trash Can,DPA Turf Trash Cans,3,37.790704319,-122.437182462
Trash Can,Lawn Area Trashcan,8,37.790874581,-122.43705178
Trash Can,Concrete Pathway Trash Cans,2,37.7429417473,-122.440325241
Trash Can,Concrete Pathway Trash Can,1,37.7976511671,-122.419238858
Trash Can,Children's Play Area Trash Cans,1,37.7087731657,-122.41360251
Trash Can,Concrete Pathway Trash Can,1,37.8065866866,-122.419021935
Trash Can,Tennis Court Trash Can,1,37.7847906349,-122.48496574
Trash Can,Paved Multi-use Play Area  2 Trash Can,2,37.7849593116,-122.484975056
Trash Can,Paved Multi-use Play Area  2 Trash Can,2,37.7850267917,-122.484762927
Trash Can,Picnic Area Trash Can,1,37.78499427,-122.484711578
Trash Can,Asphalt Pathway Trash Can,3,37.7850293256,-122.484725735
Trash Can,Asphalt Pathway Trash Can,3,37.7850304,-122.484718553
Trash Can,Asphalt Pathway Trash Can,3,37.7849043731,-122.484331337
Trash Can,Tot's Play Area Trash Can,1,37.7848444404,-122.484291554
Trash Can,Children's Play Area Trash Cans,2,37.7504862534,-122.406347783
Trash Can,Children's Play Area Trash Cans,2,37.7502530968,-122.406610863
Trash Can,Asphalt Pathway Trash Cans,3,37.749619645,-122.412539098
Trash Can,Children's Play Area Trash Cans,5,37.7580900386,-122.413239918
Trash Can,Children's Play Area Trash Cans,5,37.7580816581,-122.413239199
Trash Can,Children's Play Area Trash Cans,5,37.7580814224,-122.413229126
Trash Can,Children's Play Area Trash Cans,5,37.7580827847,-122.413219096
Trash Can,Turf Trash Cans,1,37.7335389935,-122.447073954
Trash Can,Asphalt Pathway Trash Cans,4,37.7335992191,-122.447395293
Trash Can,Asphalt Pathway Trash Cans,4,37.7337078437,-122.447691378
Trash Can,Asphalt Pathway Trash Cans,4,37.7338403778,-122.4483108
Trash Can,Asphalt Pathway Trash Cans,4,37.733448159,-122.448380234
Trash Can,Erle Field Trash Can,1,37.748094947,-122.49896275
Trash Can,Multi-Use Paved Playfield Trash Can,1,37.7478388261,-122.497650612
Trash Can,Asphalt Pathway Trash Cans,15,37.7913102192,-122.428593381
Trash Can,Dog Play Area Trash Cans,2,37.7917736646,-122.427488136
Trash Can,Asphalt Pathway Trash Cans,15,37.7910435642,-122.427347093
Trash Can,Concrete Pathway Trash Cans,5,37.7820055243,-122.425561804
Trash Can,Concrete Pathway Trash Cans,5,37.7823373529,-122.424496796
Trash Can,Concrete Pathway Trash Cans,5,37.7818988155,-122.425744777
Trash Can,Concrete Pathway Trash Cans,5,37.7820684036,-122.42564338
Trash Can,Asphalt Pathway Trash Cans,5,37.782337428,-122.435550883
Trash Can,Turf Trash Cans,1,37.7842049205,-122.435743588
Trash Can,Multi-Use Paved Play Area Trash Cans,2,37.784282217,-122.436151998
Trash Can,Children's Play Area 1 Trash Cans,1,37.7843140142,-122.435950121
Trash Can,Children's Play Area 2 Trash Cans,1,37.7844323543,-122.435371868
Trash Can,Turf Trash Cans,1,37.770404685,-122.4419903
Trash Can,Perennial Bed Trash Cans,9,37.7701178348,-122.442071922
Trash Can,Natural Area Trash Cans,5,37.770094927,-122.441126425
Trash Can,Natural Area Trash Cans,5,37.7698135104,-122.441883709
Trash Can,Perennial Bed Trash Cans,4,37.7463784215,-122.438179098
Trash Can,Perennial Bed Trash Cans,4,37.7479895936,-122.438303041
Trash Can,Perennial Bed Trash Cans,4,37.7479760945,-122.438301103
Trash Can,Perennial Bed Trash Cans,4,37.7479651123,-122.438299232
Trash Can,Natural Area Trash Cans,5,37.7699873934,-122.440193292
Trash Can,Perennial Bed Trash Cans,9,37.7693264655,-122.438958434
Trash Can,Perennial Bed Trash Cans,9,37.7690622036,-122.438836094
Trash Can,Perennial Bed Trash Cans,9,37.7692495336,-122.439535816
Trash Can,Perennial Bed Trash Cans,9,37.7682554422,-122.439634014
Trash Can,Non-Landscaped Greenspace Trash Cans,2,37.7687647508,-122.440520749
Trash Can,Perennial Bed Trash Cans,9,37.768297915,-122.440835274
Trash Can,Perennial Bed Trash Cans,9,37.7676624138,-122.4415222
Trash Can,Perennial Bed Trash Cans,9,37.7663197725,-122.442101326
Trash Can,Perennial Bed Trash Cans,9,37.767595065,-122.443092078
Trash Can,Concrete Hardscaped Area Trash Cans,3,37.7203779805,-122.432827319
Trash Can,Concrete Hardscaped Area Trash Cans,3,37.7206424067,-122.432700795
Trash Can,Picnic Area Trash Cans,1,37.7202994523,-122.43344781
Trash Can,Concrete Hardscaped Area Trash Cans,3,37.7200874163,-122.433434268
Trash Can,Children's Play Area 2 Trash Cans,1,37.7201683395,-122.433750678
Trash Can,Concrete Pathway Trash Cans,1,37.7805518975,-122.426966996
Trash Can,Multi-Use Paved Play Area Trash Cans,1,37.7807888424,-122.425575948
Trash Can,Asphalt Hardscaped Area Trash Cans,5,37.7348183411,-122.390020733
Trash Can,Asphalt Hardscaped Area Trash Cans,5,37.7348184506,-122.390013907
Trash Can,Asphalt Hardscaped Area Trash Cans,5,37.7348197861,-122.390008687
Trash Can,Asphalt Hardscaped Area Trash Cans,5,37.7348244416,-122.390004602
Trash Can,Asphalt Hardscaped Area Trash Cans,5,37.7348307982,-122.389998459
Trash Can,Multi-Use Paved Play Area Trash Can,2,37.75165849,-122.465194503
Trash Can,Tennis Court 3 Trash Can,1,37.7519454499,-122.464787659
Trash Can,Tennis Court 1 Trash Can,1,37.7519245362,-122.465298027
